year_month,airport_code,airport_name,state,scheduled_departures,on_time_arrival_pct,dep_delay_rate_pct,avg_dep_delay_min,avg_taxi_out_min,cancellation_rate_pct
2025-08,JAN,Jackson-Medgar Wiley Evers International Airport,MS,555,84.43,16.79,7.78,14.03,1.261
2025-08,TLH,Tallahassee International Airport,FL,401,79.04,17.17,8.41,16.1,1.247
2025-08,LFT,Lafayette Regional Airport,LA,245,77.92,21.9,15.47,16.9,1.224
2025-08,GSO,Piedmont Triad International Airport,NC,868,82.43,16.8,8.55,14.92,1.959
2025-08,MLI,Quad City International Airport,IL,356,77.46,19.02,15.26,15.73,2.528
2025-08,SYR,Syracuse Hancock International Airport,NY,887,80.48,17.61,9.9,15.08,2.029
2025-08,TUS,Tucson International Airport,AZ,1401,83.72,15.19,9.63,15.19,0.857
2025-08,SEA,Seattle–Tacoma International Airport,WA,15970,73.57,24.79,11.82,23.4,0.664
2025-08,PDX,Portland International Airport,OR,5685,80.93,16.4,8.33,16.65,0.668
2025-08,RAP,Rapid City Regional Airport,SD,560,69.96,22.24,16.12,21.13,1.25
2025-08,KOA,Ellison Onizuka Kona International Airport at Keāhole,HI,1343,90.72,9.26,2.3,11.97,0.298
2025-08,SBA,Santa Barbara Municipal Airport,CA,704,77.59,19.29,10.88,15.89,0.568
2025-08,COS,City of Colorado Springs Municipal Airport,CO,1237,75.51,23.25,17.66,20.56,0.889
2025-08,BOI,Boise Air Terminal/Gowen Field,ID,2025,83.34,14.9,6.2,16.68,0.247
2025-08,FAR,Hector International Airport,ND,628,76.21,20.51,15.85,16.04,0.637
2025-08,OGG,Kahului International Airport,HI,2145,89.29,9.99,3.28,10.33,0.606
2025-08,FSD,Sioux Falls Regional Airport,SD,589,71.01,24.31,26.74,16.84,1.528
2025-08,DRO,Durango La Plata County Airport,CO,409,75.62,22.41,18.53,20.51,0.733
2025-08,HDN,Yampa Valley Airport,CO,125,68.29,29.84,18.31,25.81,0.8
2025-08,SIT,Sitka Rocky Gutierrez Airport,AK,143,67.86,26.76,6.87,13.69,0.699
2025-08,CDV,Merle K (Mudhole) Smith Airport,AK,62,75.81,30.65,6.37,11.0,0.0
2025-08,WRG,Wrangell Airport,AK,62,77.05,21.31,11.11,7.31,1.613
