year_month,carrier,carrier_min,weather_min,nas_min,security_min,late_aircraft_min,delayed_flights,total_cause_min,carrier_share_pct,weather_share_pct,nas_share_pct,security_share_pct,late_aircraft_share_pct
2026-04,OO,556889.0,150147.0,211537.0,930.0,308266.0,14452,1227769.0,45.36,12.23,17.23,0.08,25.11
2026-06,OO,542453.0,181121.0,263868.0,624.0,333027.0,16190,1321093.0,41.06,13.71,19.97,0.05,25.21
2026-07,G4,124347.0,44025.0,60880.0,1323.0,154897.0,4057,385472.0,32.26,11.42,15.79,0.34,40.18
2025-09,DL,335946.0,18945.0,152467.0,665.0,199290.0,10481,707313.0,47.5,2.68,21.56,0.09,28.18
2025-10,B6,79945.0,4359.0,124236.0,182.0,120061.0,4617,328783.0,24.32,1.33,37.79,0.06,36.52
2025-10,DL,428231.0,16887.0,211795.0,846.0,299039.0,14315,956798.0,44.76,1.76,22.14,0.09,31.25
2025-10,G4,57875.0,13155.0,28522.0,207.0,75823.0,2308,175582.0,32.96,7.49,16.24,0.12,43.18
2025-10,MQ,52610.0,21519.0,73920.0,432.0,131578.0,5004,280059.0,18.79,7.68,26.39,0.15,46.98
2025-10,NK,58315.0,2224.0,82842.0,535.0,44459.0,2727,188375.0,30.96,1.18,43.98,0.28,23.6
2025-10,OH,84273.0,8728.0,44713.0,340.0,139781.0,3865,277835.0,30.33,3.14,16.09,0.12,50.31
2025-11,B6,106529.0,1757.0,98329.0,402.0,165634.0,4777,372651.0,28.59,0.47,26.39,0.11,44.45
2025-11,DL,445090.0,30651.0,283899.0,1156.0,320539.0,14575,1081335.0,41.16,2.83,26.25,0.11,29.64
2025-12,HA,62654.0,4544.0,2037.0,270.0,40613.0,1861,110118.0,56.9,4.13,1.85,0.25,36.88
2026-01,F9,106742.0,9499.0,62204.0,0.0,163518.0,4145,341963.0,31.21,2.78,18.19,0.0,47.82
2026-02,AA,449497.0,44289.0,142567.0,1461.0,523935.0,15016,1161749.0,38.69,3.81,12.27,0.13,45.1
2026-04,F9,95531.0,6300.0,64753.0,0.0,205692.0,4707,372276.0,25.66,1.69,17.39,0.0,55.25
2026-04,WN,362549.0,21308.0,222640.0,2672.0,602148.0,26258,1211317.0,29.93,1.76,18.38,0.22,49.71
2026-05,F9,77033.0,7718.0,71444.0,0.0,172306.0,4268,328501.0,23.45,2.35,21.75,0.0,52.45
2026-05,WN,514486.0,39256.0,281515.0,4239.0,885363.0,33126,1724859.0,29.83,2.28,16.32,0.25,51.33
2026-06,WN,631040.0,60652.0,328471.0,5174.0,1213117.0,40738,2238454.0,28.19,2.71,14.67,0.23,54.19
2025-09,MQ,46113.0,28361.0,62816.0,31.0,108637.0,3966,245958.0,18.75,11.53,25.54,0.01,44.17
2025-09,UA,183562.0,26178.0,239013.0,0.0,267731.0,11418,716484.0,25.62,3.65,33.36,0.0,37.37
2025-09,OH,81686.0,13583.0,35744.0,366.0,122703.0,3093,254082.0,32.15,5.35,14.07,0.14,48.29
2025-09,B6,57462.0,7403.0,93611.0,461.0,73393.0,3347,232330.0,24.73,3.19,40.29,0.2,31.59
2025-09,G4,30961.0,11838.0,14404.0,275.0,33872.0,1177,91350.0,33.89,12.96,15.77,0.3,37.08
2025-10,UA,208211.0,13043.0,325440.0,1.0,250915.0,13943,797610.0,26.1,1.64,40.8,0.0,31.46
2025-11,UA,235908.0,28429.0,416368.0,0.0,375898.0,13573,1056603.0,22.33,2.69,39.41,0.0,35.58
2025-11,G4,39690.0,21018.0,39829.0,272.0,71427.0,2196,172236.0,23.04,12.2,23.12,0.16,41.47
2025-11,MQ,48474.0,36673.0,86786.0,342.0,114259.0,4179,286534.0,16.92,12.8,30.29,0.12,39.88
2025-11,NK,46469.0,2171.0,94852.0,539.0,46472.0,2465,190503.0,24.39,1.14,49.79,0.28,24.39
2025-12,WN,432083.0,19226.0,250474.0,6462.0,816606.0,28845,1524851.0,28.34,1.26,16.43,0.42,53.55
2025-09,NK,58244.0,6925.0,65566.0,211.0,55447.0,2358,186393.0,31.25,3.72,35.18,0.11,29.75
2025-09,YX,68416.0,18367.0,122160.0,400.0,109532.0,4659,318875.0,21.46,5.76,38.31,0.13,34.35
2025-10,YX,80815.0,11159.0,181058.0,231.0,173654.0,7086,446917.0,18.08,2.5,40.51,0.05,38.86
2025-11,OH,108675.0,20260.0,69764.0,1183.0,229654.0,4728,429536.0,25.3,4.72,16.24,0.28,53.47
2025-12,F9,129257.0,7279.0,70423.0,0.0,233948.0,5094,440907.0,29.32,1.65,15.97,0.0,53.06
2025-12,AS,84029.0,11989.0,86322.0,1337.0,126436.0,5802,310113.0,27.1,3.87,27.84,0.43,40.77
2026-01,WN,232863.0,13837.0,163954.0,2501.0,316199.0,15409,729354.0,31.93,1.9,22.48,0.34,43.35
2026-02,OO,662234.0,171682.0,168357.0,3228.0,236162.0,13322,1241663.0,53.33,13.83,13.56,0.26,19.02
2026-05,AS,77827.0,9709.0,57722.0,795.0,85185.0,4865,231238.0,33.66,4.2,24.96,0.34,36.84
2026-06,F9,105388.0,18394.0,91840.0,0.0,233696.0,5353,449318.0,23.46,4.09,20.44,0.0,52.01
2026-06,AS,91813.0,7277.0,77764.0,1209.0,102739.0,5739,280802.0,32.7,2.59,27.69,0.43,36.59
2025-11,YX,95861.0,15260.0,181998.0,202.0,185081.0,6511,478402.0,20.04,3.19,38.04,0.04,38.69
2026-01,AS,113001.0,17412.0,48375.0,1172.0,122750.0,5429,302710.0,37.33,5.75,15.98,0.39,40.55
2026-04,AS,85008.0,5247.0,41983.0,619.0,70729.0,4283,203586.0,41.76,2.58,20.62,0.3,34.74
