origin,flight_date,airport_code,y,lightgbm,seasonal_naive,mean_4wk_same_weekday,target
2026-06-19,2026-06-24,SEA,511.0,506.3585375959073,511.0,499.25,scheduled_departures
2026-06-19,2026-06-25,SEA,527.0,530.1805517741259,533.0,519.75,scheduled_departures
2026-06-19,2026-06-26,SEA,528.0,532.1736472904221,532.0,521.0,scheduled_departures
2026-06-26,2026-06-27,ATL,788.0,791.3257313844953,782.0,779.5,scheduled_departures
2026-06-26,2026-06-28,ATL,866.0,915.6835381731426,930.0,931.25,scheduled_departures
2026-06-26,2026-06-29,ATL,858.0,936.9159001456662,944.0,943.0,scheduled_departures
2026-06-26,2026-06-30,ATL,845.0,890.0806706752891,895.0,893.75,scheduled_departures
2026-06-26,2026-07-01,ATL,845.0,897.9622142059984,896.0,896.5,scheduled_departures
2026-06-26,2026-07-02,ATL,857.0,942.8757877808368,942.0,940.75,scheduled_departures
2026-06-26,2026-07-03,ATL,851.0,908.2174151328093,943.0,941.0,scheduled_departures
2026-06-26,2026-06-27,CLT,474.0,484.52356323079283,476.0,473.0,scheduled_departures
2026-06-26,2026-06-28,CLT,507.0,518.5137200097604,514.0,515.25,scheduled_departures
2026-06-26,2026-06-29,CLT,511.0,520.3780052235733,516.0,514.5,scheduled_departures
2026-06-26,2026-06-30,CLT,487.0,495.7645493446466,492.0,487.25,scheduled_departures
2026-06-26,2026-07-01,CLT,494.0,510.7278293906112,500.0,497.0,scheduled_departures
2026-06-26,2026-07-02,CLT,519.0,515.0480881285736,518.0,518.5,scheduled_departures
2026-06-26,2026-07-03,CLT,514.0,513.4922436164678,517.0,516.75,scheduled_departures
2026-06-26,2026-06-27,DEN,874.0,881.3055962331821,873.0,862.25,scheduled_departures
2026-06-26,2026-06-28,DEN,977.0,964.1162801942833,978.0,972.75,scheduled_departures
2026-06-26,2026-06-29,DEN,996.0,997.8455250051306,997.0,988.0,scheduled_departures
2026-06-26,2026-06-30,DEN,919.0,920.4692070088481,918.0,906.25,scheduled_departures
2026-06-26,2026-07-01,DEN,958.0,964.954773607011,953.0,940.25,scheduled_departures
2026-06-26,2026-07-02,DEN,1001.0,1000.214783122163,1001.0,997.75,scheduled_departures
2026-06-26,2026-07-03,DEN,976.0,969.5423002893743,1001.0,998.5,scheduled_departures
