route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
DFW-PIT,DFW,PIT,1067.0,1509,2,72.32,12.92,58.6,1.59
RSW-CLT,RSW,CLT,600.0,1776,1,84.42,3.75,34.0,1.52
DFW-SMF,DFW,SMF,1431.0,1631,1,67.07,18.91,76.0,2.452
GRR-CLT,GRR,CLT,583.0,1023,2,80.5,9.61,49.0,1.173
CLT-IND,CLT,IND,427.0,1958,3,76.55,9.28,56.0,1.583
IND-CLT,IND,CLT,427.0,1958,3,82.7,10.58,37.6,1.583
CLT-JAX,CLT,JAX,328.0,1939,2,76.92,8.84,47.0,1.135
MIA-SAT,MIA,SAT,1143.0,483,2,69.39,13.08,58.4,0.828
DFW-MYR,DFW,MYR,1048.0,507,3,67.41,21.25,88.5,1.775
BOI-DFW,BOI,DFW,1272.0,802,1,81.1,11.56,41.4,3.117
DFW-PBI,DFW,PBI,1102.0,1145,1,65.86,17.53,69.1,2.795
MSN-PHX,MSN,PHX,1396.0,592,2,80.03,13.58,45.5,1.014
SNA-JFK,SNA,JFK,2454.0,462,2,75.63,15.83,75.2,2.814
MIA-SAV,MIA,SAV,440.0,789,3,80.8,3.52,42.5,1.521
CLT-SEA,CLT,SEA,2279.0,1296,1,69.6,11.25,60.8,1.003
DFW-BFL,DFW,BFL,1271.0,311,1,53.38,59.03,144.5,3.859
DFW-MDT,DFW,MDT,1231.0,365,1,56.5,40.58,116.0,3.014
GSO-DFW,GSO,DFW,999.0,926,2,77.98,9.75,51.2,2.916
DFW-SNA,DFW,SNA,1205.0,2936,2,77.96,4.97,42.0,2.793
DFW-ANC,DFW,ANC,3043.0,394,1,62.76,29.83,81.0,0.254
CLT-SYR,CLT,SYR,603.0,1094,2,74.42,12.01,51.2,1.188
ILM-DFW,ILM,DFW,1106.0,708,2,79.97,4.19,55.2,3.249
BZN-DFW,BZN,DFW,1163.0,713,1,74.39,21.43,62.0,2.104
STT-MIA,STT,MIA,1107.0,941,1,81.88,6.96,39.0,1.063
SAT-DCA,SAT,DCA,1380.0,351,1,89.77,4.63,14.9,2.279
SYR-DFW,SYR,DFW,1336.0,327,1,80.51,13.17,29.8,3.364
SMF-CLT,SMF,CLT,2244.0,429,1,88.12,-1.73,21.0,1.865
HNL-PDX,HNL,PDX,2603.0,911,2,76.89,11.84,38.0,1.207
JFK-HNL,JFK,HNL,4983.0,666,3,68.99,13.57,50.6,2.703
KOA-LIH,KOA,LIH,263.0,365,2,93.37,0.37,8.0,0.548
SLC-BOS,SLC,BOS,2105.0,1256,2,82.1,1.24,34.2,1.99
ORF-FLL,ORF,FLL,781.0,419,3,69.85,11.88,69.3,5.012
FLL-ORF,FLL,ORF,781.0,419,3,71.75,10.32,56.0,4.535
ATW-ATL,ATW,ATL,765.0,366,1,82.63,8.22,38.0,2.186
MSP-MSY,MSP,MSY,1040.0,440,1,86.74,-2.34,24.0,2.273
MCI-SLC,MCI,SLC,920.0,1009,1,87.15,-2.87,22.0,0.991
GEG-MSP,GEG,MSP,1175.0,782,1,91.23,-2.77,10.6,0.767
GRB-ATL,GRB,ATL,774.0,366,1,88.24,-0.0,19.2,1.913
SAT-MSP,SAT,MSP,1097.0,893,1,85.45,-0.68,22.0,1.232
MSO-MSP,MSO,MSP,1013.0,489,1,90.97,-2.94,13.0,0.409
ONT-ATL,ONT,ATL,1900.0,937,1,89.34,-0.8,16.0,1.814
MSP-PSP,MSP,PSP,1454.0,314,1,82.74,-2.46,25.4,1.592
DCA-SLC,DCA,SLC,1851.0,364,1,74.72,10.27,37.3,1.099
PBI-DTW,PBI,DTW,1086.0,475,1,76.28,11.55,45.0,1.263
MSP-GEG,MSP,GEG,1175.0,782,1,82.32,1.48,31.0,0.767
SLC-MEM,SLC,MEM,1262.0,365,1,84.21,1.78,28.0,0.822
CID-ATL,CID,ATL,694.0,367,1,87.15,-0.07,23.0,2.18
MSP-SAV,MSP,SAV,1092.0,329,1,82.77,0.53,24.6,0.912
MSP-MSO,MSP,MSO,1013.0,489,1,78.81,7.15,42.5,0.409
ATL-FSD,ATL,FSD,954.0,365,1,77.84,7.44,39.0,0.822
SLC-MKE,SLC,MKE,1247.0,363,2,79.67,9.65,47.4,0.826
ATL-CID,ATL,CID,694.0,367,1,75.63,13.11,45.4,1.635
BHM-DTW,BHM,DTW,625.0,312,3,78.18,19.62,72.8,1.603
TYS-PIE,TYS,PIE,550.0,522,1,73.93,17.12,57.0,0.575
SFB-ABE,SFB,ABE,882.0,642,1,75.9,17.66,50.4,0.312
GRR-PGD,GRR,PGD,1118.0,349,1,82.47,1.06,33.3,0.0
FAR-AZA,FAR,AZA,1220.0,372,1,79.84,3.33,32.8,0.0
CVG-VPS,CVG,VPS,600.0,416,1,77.24,9.62,55.0,0.481
CVG-SFB,CVG,SFB,735.0,351,1,69.34,19.12,71.2,0.285
ABE-SFB,ABE,SFB,882.0,643,1,78.37,18.38,46.9,0.467
PIE-TYS,PIE,TYS,550.0,522,1,75.0,15.11,54.0,0.575
GRR-PIE,GRR,PIE,1044.0,381,1,76.66,4.01,35.0,0.262
CVG-PIE,CVG,PIE,776.0,351,1,75.51,16.92,52.8,0.57
AVL-PIE,AVL,PIE,519.0,508,1,73.6,14.81,54.0,0.787
SFB-TYS,SFB,TYS,511.0,639,1,64.4,21.32,80.8,0.626
FNT-SFB,FNT,SFB,988.0,322,1,77.57,12.74,54.0,0.311
MFE-LAS,MFE,LAS,1210.0,426,1,83.02,7.27,39.1,0.469
FLL-AVL,FLL,AVL,661.0,659,1,59.1,30.08,88.0,1.062
SFB-FNT,SFB,FNT,988.0,322,1,74.14,15.56,63.0,0.311
FLL-ACY,FLL,ACY,977.0,546,2,70.49,11.74,68.0,5.311
DFW-MLU,DFW,MLU,293.0,1135,2,84.23,1.65,29.4,2.907
GNV-MIA,GNV,MIA,294.0,384,1,90.36,1.14,10.4,0.0
BMI-DFW,BMI,DFW,690.0,727,1,89.17,-8.28,18.0,1.513
ORD-XNA,ORD,XNA,522.0,1840,5,76.31,5.14,53.0,2.228
FAR-DFW,FAR,DFW,967.0,1086,1,85.17,-2.06,30.0,1.934
ORD-CWA,ORD,CWA,213.0,1004,2,75.91,7.49,49.0,4.084
LAN-ORD,LAN,ORD,179.0,748,1,81.68,6.29,47.5,2.941
CMI-ORD,CMI,ORD,135.0,1066,1,75.88,11.81,68.0,3.565
MIA-TLH,MIA,TLH,402.0,1191,3,82.9,3.63,28.0,0.252
CLT-HHH,CLT,HHH,206.0,1164,1,85.53,1.52,23.0,1.46
FSM-DFW,FSM,DFW,227.0,1194,1,84.7,4.92,32.0,2.764
ORD-HPN,ORD,HPN,738.0,1530,1,77.58,6.57,46.0,3.856
DFW-LRD,DFW,LRD,396.0,1541,3,83.67,-0.64,28.0,3.245
LRD-DFW,LRD,DFW,396.0,1541,3,84.88,4.1,30.0,3.18
ORD-CMI,ORD,CMI,135.0,1066,1,72.61,9.37,63.0,3.659
GGG-DFW,GGG,DFW,140.0,718,1,84.48,2.95,29.0,2.925
TRI-DFW,TRI,DFW,868.0,705,2,83.82,3.86,47.0,2.979
ORD-VPS,ORD,VPS,796.0,318,2,79.43,1.3,40.0,0.629
STT-MCO,STT,MCO,1246.0,393,2,73.4,7.61,51.5,2.29
MCO-STT,MCO,STT,1246.0,392,2,76.68,9.2,38.5,1.276
TPA-ACY,TPA,ACY,914.0,305,1,71.23,19.86,67.9,3.607
DEN-ROW,DEN,ROW,452.0,330,1,74.39,8.85,50.3,0.606
OAJ-ATL,OAJ,ATL,399.0,620,1,79.8,13.4,60.4,3.065
BTV-DTW,BTV,DTW,537.0,338,2,69.6,23.73,98.2,2.367
MSP-JFK,MSP,JFK,1029.0,719,1,82.91,1.95,39.0,1.53
MHT-ORD,MHT,ORD,843.0,602,2,83.48,-2.43,29.4,2.159
JFK-ACK,JFK,ACK,199.0,301,2,82.01,-3.05,41.0,6.977
EWR-BTV,EWR,BTV,266.0,404,2,87.79,-2.17,20.0,2.228
SFO-ABQ,SFO,ABQ,896.0,714,2,82.68,2.31,35.1,0.42
SAV-ORD,SAV,ORD,773.0,1566,5,76.89,13.04,46.0,1.724
LAX-SBA,LAX,SBA,89.0,687,1,88.18,1.98,21.2,1.019
SBP-LAX,SBP,LAX,155.0,634,1,88.13,0.73,17.9,0.315
DEN-EGE,DEN,EGE,120.0,1171,2,79.74,7.13,39.6,0.427
ORD-LNK,ORD,LNK,466.0,1586,1,62.84,28.01,99.8,3.405
MSO-DEN,MSO,DEN,679.0,1204,3,81.06,8.47,39.0,0.498
IDA-DEN,IDA,DEN,458.0,1699,3,80.88,5.6,47.2,0.53
SFO-SNA,SFO,SNA,372.0,4716,4,79.06,5.46,43.0,1.293
ORD-RAP,ORD,RAP,780.0,692,3,78.52,3.53,36.0,2.168
LAX-PHX,LAX,PHX,370.0,7629,7,80.59,6.22,39.8,0.734
SMF-SFO,SMF,SFO,86.0,1356,2,63.47,19.8,63.0,1.696
LIT-IAH,LIT,IAH,374.0,653,2,71.89,13.58,63.0,0.306
SLC-SFO,SLC,SFO,599.0,3454,4,65.85,14.98,66.7,1.013
DEN-BHM,DEN,BHM,1083.0,1218,3,73.7,7.69,50.0,0.411
LBB-DEN,LBB,DEN,456.0,985,2,76.42,15.21,64.8,1.421
ORD-AVL,ORD,AVL,536.0,1476,4,74.77,8.09,51.0,2.371
TUL-IAH,TUL,IAH,429.0,1087,2,83.87,3.51,33.2,0.46
DFW-BPT,DFW,BPT,270.0,722,2,78.85,18.07,58.6,3.324
ORD-FSD,ORD,FSD,462.0,1799,5,64.28,24.81,85.0,3.502
DFW-SAF,DFW,SAF,551.0,1764,2,76.94,8.53,48.0,2.494
FAT-PHX,FAT,PHX,493.0,1475,3,80.96,11.0,47.6,0.61
GRR-ORD,GRR,ORD,137.0,4032,6,68.93,21.72,75.0,2.951
COS-ORD,COS,ORD,911.0,1001,2,75.41,20.31,79.0,2.098
ICT-ORD,ICT,ORD,588.0,2192,5,73.95,14.32,64.7,3.558
TUS-PHX,TUS,PHX,109.0,3465,4,83.46,5.23,38.0,0.519
DFW-PVU,DFW,PVU,958.0,727,2,75.35,9.35,59.0,1.926
ORD-GRR,ORD,GRR,137.0,4029,6,70.34,17.34,70.7,3.078
ORD-BNA,ORD,BNA,409.0,5026,9,70.02,18.04,79.0,2.547
DRO-PHX,DRO,PHX,352.0,992,1,77.59,7.72,41.0,0.403
BPT-DFW,BPT,DFW,270.0,722,2,82.12,9.38,55.0,3.047
ORD-OKC,ORD,OKC,693.0,2617,4,70.12,16.75,87.0,3.172
MFR-PHX,MFR,PHX,855.0,753,2,85.43,3.52,25.0,0.664
CMH-ORD,CMH,ORD,296.0,4930,6,76.09,13.29,55.9,2.738
DSM-PHX,DSM,PHX,1149.0,1064,5,80.21,15.96,43.5,1.504
PHX-TUS,PHX,TUS,109.0,3463,4,81.41,7.9,42.0,0.578
OKC-PHX,OKC,PHX,833.0,1837,3,80.56,7.4,40.0,1.034
