route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct,log_flights,segment_id,segment,pc1,pc2
PHX-BUR,PHX,BUR,369.0,3147,4,79.91,6.02,41.0,0.699,3.49789674291322,0,"Trunk route - multi-carrier, unreliable",-0.07375997242349146,1.8968047399290004
SAT-SFO,SAT,SFO,1482.0,434,2,86.05,2.78,30.0,0.461,2.637489729512511,3,"Thin route - long-haul, rarely cancels",-1.9154881941430937,-0.6493894254792695
GEG-DEN,GEG,DEN,836.0,2052,4,84.18,2.0,30.5,0.292,3.3121773564397787,0,"Trunk route - multi-carrier, unreliable",-1.193951019672767,1.7226980710806872
IAH-PIT,IAH,PIT,1117.0,774,2,82.49,3.4,34.0,0.129,2.8887409606828927,2,"Thin route - reliable, short delay tail",-1.4122214305467395,-0.19998532416996612
PIT-IAH,PIT,IAH,1117.0,774,2,84.61,-2.54,28.8,0.129,2.8887409606828927,2,"Thin route - reliable, short delay tail",-2.1143470713732384,-0.004738029110637703
ABE-ORD,ABE,ORD,654.0,453,2,72.69,27.39,100.9,3.974,2.656098202012832,1,"Thin route - long delay tail, high average delay",3.5998886646501744,-1.8787266433974816
MSP-CMH,MSP,CMH,626.0,851,2,79.93,7.3,52.9,0.823,2.929929560084588,2,"Thin route - reliable, short delay tail",-0.19762225489209428,-0.35168032307820485
FSD-MSP,FSD,MSP,196.0,1346,2,84.27,4.91,36.2,1.189,3.1290450598879582,2,"Thin route - reliable, short delay tail",-0.9033197073060282,0.3188981071548631
PHX-BFL,PHX,BFL,425.0,1305,3,80.03,9.48,47.4,1.762,3.1156105116742996,0,"Trunk route - multi-carrier, unreliable",0.2618781503364986,0.487174999399584
BFL-PHX,BFL,PHX,425.0,1306,3,83.23,5.35,53.8,1.761,3.115943176939055,2,"Thin route - reliable, short delay tail",-0.0953804953978348,0.5875655236938531
ABQ-HOU,ABQ,HOU,759.0,970,1,83.63,1.99,25.0,0.206,2.9867717342662448,2,"Thin route - reliable, short delay tail",-1.8624293744921752,-0.3409513660031059
ATL-MDW,ATL,MDW,591.0,3526,3,76.26,10.71,47.0,2.014,3.5472823079633033,0,"Trunk route - multi-carrier, unreliable",0.828168925893726,1.2584033157157817
ATL-PHX,ATL,PHX,1587.0,3732,4,75.54,8.67,47.0,0.723,3.571941635074462,0,"Trunk route - multi-carrier, unreliable",0.44215638106182753,1.7761549392954166
ATL-TPA,ATL,TPA,406.0,6141,4,73.74,12.16,55.0,1.27,3.788239097382168,0,"Trunk route - multi-carrier, unreliable",1.4278061437879164,2.1380838769076567
AUS-CMH,AUS,CMH,1073.0,414,5,81.07,7.25,27.9,0.483,2.617000341120899,2,"Thin route - reliable, short delay tail",-0.7935720338905197,0.6066676374626285
AUS-DEN,AUS,DEN,775.0,5416,4,79.05,4.43,42.0,0.646,3.733678655677088,0,"Trunk route - multi-carrier, unreliable",-0.07184801641356205,2.3587161533548944
