route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
DFW-LAS,DFW,LAS,764,0.29818942850328867,0.44502617801047123,65.37619381550095,0.008640682523445303
AUS-FLL,AUS,FLL,196,0.2981043744604198,0.37244897959183676,58.99183555525176,0.006786938281635744
ILM-DCA,ILM,DCA,153,0.2979414987992617,0.39869281045751637,67.12518785514084,0.018157780762611098
DCA-ROC,DCA,ROC,155,0.2979365034449485,0.36129032258064514,62.76404438634073,0.0179009312474779
PIT-SEA,PIT,SEA,120,0.29784545277555785,0.24166666666666667,52.82375446955363,0.005532236848688446
ACK-BOS,ACK,BOS,149,0.29783638921760075,0.26174496644295303,62.44548700319841,0.012858087420935117
ASE-LAX,ASE,LAX,151,0.29772164825572084,0.3708609271523179,103.22976479940857,0.01961771656559514
DTW-OMA,DTW,OMA,230,0.2975127156661904,0.1782608695652174,77.11524678105893,0.006709815653891343
ORD-MCW,ORD,MCW,100,0.29744186490774155,0.29,77.92587177276611,0.018597629036576975
EWR-SJU,EWR,SJU,331,0.29742985297545926,0.2688821752265861,60.248469563049134,0.014682674178106408
OKC-DCA,OKC,DCA,105,0.2974280520564034,0.37142857142857144,65.75082684471494,0.016141507700861743
ORD-TYS,ORD,TYS,411,0.2974030855508326,0.29683698296836986,80.7229173108029,0.009817427034129581
DFW-GEG,DFW,GEG,119,0.2971979377149534,0.3697478991596639,52.1044443915872,0.009412979791787538
MDW-OAK,MDW,OAK,113,0.2971398951733007,0.37168141592920356,45.90954726565201,0.00759761657957968
FWA-ORD,FWA,ORD,510,0.29689889333996117,0.23137254901960785,84.56935318591547,0.013810025633944546
MIA-DTW,MIA,DTW,214,0.296718814801947,0.2897196261682243,64.15439863294084,0.00707896803938892
MSP-ORD,MSP,ORD,1047,0.29665922939976624,0.28462273161413565,65.8673338393655,0.011102831858856594
DCA-FLL,DCA,FLL,330,0.2960349190415758,0.3424242424242424,63.00222311886874,0.010006026837157558
ORD-EWR,ORD,EWR,984,0.295429004719708,0.34247967479674796,72.5715222290861,0.01259030536191796
MDW-SEA,MDW,SEA,169,0.2953495698038643,0.46745562130177515,44.21630508377707,0.006938913398645601
ORD-COU,ORD,COU,315,0.2952940260134046,0.2126984126984127,74.92573500133696,0.013497072876371603
MKE-BOS,MKE,BOS,161,0.29528186326811773,0.21739130434782608,63.34626217954647,0.014586582154327309
FCA-DFW,FCA,DFW,99,0.29527715194706966,0.31313131313131315,56.74869348545267,0.00585189985231229
ORD-BZN,ORD,BZN,299,0.29505838792658967,0.27759197324414714,66.77523427344485,0.003611090265621897
DFW-SFO,DFW,SFO,821,0.294766868375033,0.582216808769793,62.84557724579824,0.009110520796379157
DFW-PIT,DFW,PIT,296,0.2947128831434089,0.34121621621621623,64.06899144198444,0.010460707815301498
AUS-BOS,AUS,BOS,334,0.29435598868095947,0.3473053892215569,61.93108343935298,0.009469739052822742
CMH-SEA,CMH,SEA,118,0.2941639865353956,0.2542372881355932,45.83343795194464,0.007255477453897692
DTW-DCA,DTW,DCA,434,0.294070711127624,0.3433179723502304,61.575170785051334,0.014758890366348892
SFO-STL,SFO,STL,120,0.2940638680011034,0.5333333333333333,49.333858998616535,0.004689664137168008
DFW-MIA,DFW,MIA,765,0.29402158528176786,0.44575163398692813,62.79250095342499,0.012208325328634344
FLL-ORD,FLL,ORD,445,0.2937954397683733,0.2943820224719101,65.15795949443003,0.009895232768094802
MIA-CLE,MIA,CLE,171,0.29372880289777675,0.32748538011695905,53.99954582794368,0.007880433107899544
DEN-OAK,DEN,OAK,299,0.2935200948828838,0.44816053511705684,49.569448471069336,0.004784450017726451
DCA-BGR,DCA,BGR,187,0.29346710316000135,0.39572192513368987,57.30158027608127,0.01590414869734589
DCA-SAV,DCA,SAV,172,0.2932509574605975,0.3488372093023256,61.902897213780605,0.015306249306983469
DFW-FSD,DFW,FSD,173,0.292944572133825,0.45664739884393063,81.95628502465397,0.011959481646644544
MIA-BNA,MIA,BNA,412,0.29290891339260977,0.4344660194174757,55.242653721744574,0.007300010128149196
ORD-PVD,ORD,PVD,278,0.2927596523500175,0.22302158273381295,65.29352006294745,0.013262041052646608
DTW-ORD,DTW,ORD,1007,0.29236168338146795,0.2313803376365442,68.31804041213762,0.010335882216808276
MSO-ORD,MSO,ORD,124,0.2922926941706288,0.1935483870967742,60.74029874801636,0.005688874699967349
ALB-DCA,ALB,DCA,203,0.2922367663512676,0.3645320197044335,70.43931107920379,0.017587160660296412
DFW-BNA,DFW,BNA,624,0.292214599211151,0.47596153846153844,65.41101464782005,0.012916386190321913
ORD-AZO,ORD,AZO,115,0.2921416913685591,0.4,59.10469940848972,0.01335890106856823
ATL-DCA,ATL,DCA,1062,0.2920619215528619,0.3766478342749529,56.1730572436489,0.012496787274763147
BTV-PHL,BTV,PHL,211,0.2916319289761132,0.3222748815165877,52.45011865697201,0.009177544265490981
DTW-GRR,DTW,GRR,213,0.29157590187491383,0.18309859154929578,78.21110382438266,0.009295029685933126
DTW-ATW,DTW,ATW,180,0.29148008682661586,0.18888888888888888,98.97987331814237,0.00996066598333622
DFW-CLE,DFW,CLE,279,0.2912188431374916,0.37992831541218636,57.78806213324215,0.012493088022854768
LAX-FLL,LAX,FLL,354,0.29094156888076816,0.1807909604519774,57.24593966424802,0.007902366120866332
DTW-CLE,DTW,CLE,234,0.29093810406505555,0.23504273504273504,83.53032563690446,0.00871985544296676
ATL-STT,ATL,STT,129,0.29076555429040923,0.13953488372093023,55.03264949118444,0.008917306968581307
RSW-BOS,RSW,BOS,192,0.29033144493587315,0.2552083333333333,79.49023430546124,0.010814722542735663
JFK-SJU,JFK,SJU,570,0.2901707754061933,0.3456140350877193,63.5313626205712,0.013820385200458148
FLL-RDU,FLL,RDU,233,0.2900180521185306,0.3133047210300429,71.10405077136126,0.01041102276620343
DFW-SBN,DFW,SBN,177,0.2897112922648252,0.2937853107344633,68.76581495899265,0.009330298782295578
DCA-BUF,DCA,BUF,161,0.2896924767620075,0.422360248447205,73.41512075862529,0.01767561574162946
FLL-AUS,FLL,AUS,195,0.2895321689546108,0.28717948717948716,60.914814161643,0.007276420013489898
