flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
7462172992665907901,20260601,AS,EWR,EWR-SFO,0.29965156,1,-2.9131253,63.13708,0.016706252,0,0
8605511759383860098,20260601,YX,LGA,LGA-DCA,0.38794616,1,6.298937,87.84838,0.037124623,0,0
2943765728182783174,20260601,OO,SAN,SAN-RDM,0.14197148,0,-10.750336,20.091633,0.014737884,0,0
1701088649624631900,20260601,AA,MIA,MIA-JFK,0.43522388,1,6.1826177,77.83936,0.017848756,1,0
3066503564860480452,20260601,AA,SNA,SNA-DFW,0.14316992,0,-6.235076,49.069134,0.017782886,0,0
6924276759097975762,20260601,DL,JFK,JFK-FLL,0.31195533,1,-0.28789783,55.99129,0.018650867,0,0
4373113920900266539,20260601,WN,HOU,HOU-SAN,0.29376957,1,0.10959355,33.86674,0.0054997844,0,0
18362074230784344460,20260601,OO,ORD,ORD-SLC,0.34565148,1,3.2706187,73.16324,0.013862881,0,0
6412561007116770237,20260601,AS,HNL,HNL-LIH,0.1157727,0,-0.145348,18.050564,0.007996545,0,0
124279541039893950,20260601,AA,PWM,PWM-DFW,0.26141426,1,-3.8353753,72.54481,0.012716724,0,0
10468438778008247443,20260601,WN,DCA,DCA-MDW,0.11854199,0,-6.3293614,17.647108,0.013155018,0,0
13860748845942712956,20260601,OO,SAV,SAV-DTW,0.22709952,1,-6.595469,53.098736,0.0078078685,0,0
16797484523610033192,20260601,OO,DEN,DEN-ICT,0.108333334,0,-7.3573437,33.409306,0.005747441,0,0
2521999869233680726,20260601,MQ,ORD,ORD-LSE,0.34565148,1,-7.726118,58.73017,0.026548788,0,0
16339236176355446664,20260601,OO,PRC,PRC-LAX,0.14316992,0,-7.2939057,34.78679,0.0056309137,0,0
17337472767841560235,20260601,OO,FWA,FWA-DTW,0.23116963,1,-6.1520786,64.04026,0.010377854,0,0
5246958435669039545,20260601,AA,PHL,PHL-SFO,0.29376957,1,-1.5394344,63.532955,0.0130771855,0,0
14261093246350937975,20260601,OH,BTR,BTR-DCA,0.16029368,0,-10.758765,45.740696,0.018472057,0,0
16439765998634224541,20260601,DL,MKE,MKE-MSP,0.19670747,0,-4.2847195,40.528454,0.009935305,0,0
5920199542507575321,20260601,AS,SEA,SEA-ONT,0.19608329,0,-5.1684885,31.361946,0.0072678598,0,0
10035982988430482560,20260601,F9,ATL,ATL-FLL,0.3832008,1,5.134591,77.19932,0.01384828,0,0
17438535398007788231,20260601,F9,CLT,CLT-PHL,0.22216624,1,-8.986766,58.047466,0.014298698,0,0
5663358800778584050,20260601,DL,BOI,BOI-SLC,0.10879669,0,-11.4380455,29.760542,0.008085159,0,0
4602358634365484481,20260601,AA,RNO,RNO-DFW,0.2226762,1,-9.104777,53.322502,0.015655942,0,0
3571388282716612312,20260601,OO,DFW,DFW-PVU,0.28778338,1,-5.2825418,75.06501,0.023501592,0,0
17868760502065263923,20260601,F9,MCO,MCO-PHX,0.13411938,0,-10.069451,29.607727,0.008675054,0,0
10238347972901066840,20260601,G4,IAD,IAD-TYS,0.18825832,0,-7.917595,44.403084,0.004663588,0,0
6533287995265797427,20260601,AA,ATL,ATL-MIA,0.2226762,1,-3.447594,55.15314,0.0103276735,0,0
144689341301727041,20260601,G4,BNA,BNA-MDT,0.14678898,0,-8.900982,30.058958,0.0048709163,0,0
