route,origin,dest,distance_mi,scheduled_flights,route_segment
RIC-DTW,RIC,DTW,455.0,650,"Thin route - reliable, short delay tail"
RIC-EWR,RIC,EWR,277.0,562,"Thin route - long delay tail, high average delay"
RIC-FLL,RIC,FLL,806.0,808,"Thin route - long delay tail, high average delay"
RIC-IAD,RIC,IAD,100.0,102,
RIC-IAH,RIC,IAH,1157.0,76,
RIC-JFK,RIC,JFK,288.0,69,
RIC-LGA,RIC,LGA,291.0,2278,"Thin route - long delay tail, high average delay"
RIC-MCO,RIC,MCO,667.0,1188,"Thin route - long delay tail, high average delay"
RIC-MDW,RIC,MDW,629.0,413,"Thin route - reliable, short delay tail"
RIC-MIA,RIC,MIA,826.0,585,"Thin route - reliable, short delay tail"
RIC-MSP,RIC,MSP,969.0,86,
RIC-ORD,RIC,ORD,642.0,2216,"Trunk route - multi-carrier, unreliable"
RIC-PHL,RIC,PHL,198.0,136,
RIC-PIE,RIC,PIE,732.0,98,
RIC-SFB,RIC,SFB,643.0,14,
RIC-SJU,RIC,SJU,1482.0,55,
RIW-CPR,RIW,CPR,102.0,1,
RIW-DEN,RIW,DEN,296.0,728,"Thin route - reliable, short delay tail"
RKS-DEN,RKS,DEN,260.0,728,"Thin route - long delay tail, high average delay"
RNO-ATL,RNO,ATL,1993.0,308,"Thin route - long-haul, rarely cancels"
RNO-AUS,RNO,AUS,1405.0,192,
RNO-BUR,RNO,BUR,374.0,423,"Thin route - reliable, short delay tail"
RNO-DAL,RNO,DAL,1356.0,100,
RNO-DEN,RNO,DEN,804.0,2469,"Thin route - reliable, short delay tail"
RNO-DFW,RNO,DFW,1345.0,1264,"Thin route - reliable, short delay tail"
RNO-EWR,RNO,EWR,2390.0,3,
RNO-FLL,RNO,FLL,2461.0,3,
RNO-IAH,RNO,IAH,1530.0,50,
RNO-JFK,RNO,JFK,2411.0,149,
RNO-LAS,RNO,LAS,345.0,4101,"Trunk route - multi-carrier, unreliable"
RNO-LAX,RNO,LAX,390.0,2478,"Thin route - reliable, short delay tail"
RNO-LGB,RNO,LGB,402.0,694,"Thin route - reliable, short delay tail"
RNO-MDW,RNO,MDW,1680.0,102,
RNO-MSP,RNO,MSP,1405.0,93,
RNO-OAK,RNO,OAK,181.0,4,
RNO-ORD,RNO,ORD,1671.0,363,"Thin route - long-haul, rarely cancels"
RNO-PDX,RNO,PDX,444.0,307,"Thin route - reliable, short delay tail"
RNO-PHX,RNO,PHX,601.0,2444,"Trunk route - multi-carrier, unreliable"
RNO-SAN,RNO,SAN,488.0,1208,"Trunk route - multi-carrier, unreliable"
RNO-SEA,RNO,SEA,564.0,904,"Thin route - reliable, short delay tail"
RNO-SFO,RNO,SFO,192.0,1928,"Thin route - long delay tail, high average delay"
RNO-SJC,RNO,SJC,188.0,243,
RNO-SLC,RNO,SLC,422.0,1198,"Thin route - reliable, short delay tail"
ROA-ATL,ROA,ATL,357.0,432,"Thin route - reliable, short delay tail"
ROA-CLT,ROA,CLT,155.0,41,
ROA-DFW,ROA,DFW,1012.0,57,
ROA-LGA,ROA,LGA,405.0,347,"Thin route - long delay tail, high average delay"
ROA-ORD,ROA,ORD,530.0,882,"Thin route - long delay tail, high average delay"
ROA-PIE,ROA,PIE,668.0,113,
ROA-SFB,ROA,SFB,594.0,117,
ROA-SRQ,ROA,SRQ,701.0,77,
ROC-ATL,ROC,ATL,749.0,1041,"Thin route - reliable, short delay tail"
ROC-BOS,ROC,BOS,343.0,384,"Thin route - reliable, short delay tail"
ROC-BWI,ROC,BWI,277.0,1105,"Thin route - reliable, short delay tail"
ROC-CLT,ROC,CLT,573.0,994,"Thin route - reliable, short delay tail"
ROC-DCA,ROC,DCA,296.0,1033,"Thin route - long delay tail, high average delay"
ROC-DTW,ROC,DTW,296.0,482,"Thin route - long delay tail, high average delay"
ROC-EWR,ROC,EWR,246.0,600,"Thin route - reliable, short delay tail"
ROC-FLL,ROC,FLL,1183.0,55,
ROC-IAD,ROC,IAD,287.0,155,
ROC-JFK,ROC,JFK,264.0,606,"Thin route - reliable, short delay tail"
ROC-LAS,ROC,LAS,2040.0,149,
ROC-LGA,ROC,LGA,254.0,120,
ROC-MCO,ROC,MCO,1033.0,504,"Thin route - long delay tail, high average delay"
ROC-MDW,ROC,MDW,523.0,496,"Thin route - reliable, short delay tail"
ROC-MIA,ROC,MIA,1203.0,22,
ROC-MYR,ROC,MYR,655.0,9,
ROC-ORD,ROC,ORD,528.0,2355,"Trunk route - multi-carrier, unreliable"
ROC-PGD,ROC,PGD,1143.0,71,
ROC-PHL,ROC,PHL,257.0,1,
ROC-RSW,ROC,RSW,1166.0,3,
ROC-SRQ,ROC,SRQ,1118.0,41,
ROC-TPA,ROC,TPA,1079.0,55,
ROW-DEN,ROW,DEN,452.0,330,"Thin route - long delay tail, high average delay"
ROW-DFW,ROW,DFW,435.0,827,"Thin route - reliable, short delay tail"
RST-MSP,RST,MSP,76.0,308,"Thin route - reliable, short delay tail"
RST-ORD,RST,ORD,268.0,1057,"Thin route - long delay tail, high average delay"
RSW-ABE,RSW,ABE,1038.0,75,
RSW-ACY,RSW,ACY,982.0,290,
RSW-ALB,RSW,ALB,1204.0,11,
RSW-ATL,RSW,ATL,515.0,2816,"Thin route - reliable, short delay tail"
RSW-ATW,RSW,ATW,1279.0,52,
RSW-AUS,RSW,AUS,1001.0,5,
RSW-BDL,RSW,BDL,1180.0,285,
RSW-BNA,RSW,BNA,722.0,806,"Thin route - reliable, short delay tail"
RSW-BOS,RSW,BOS,1249.0,2194,"Thin route - long delay tail, high average delay"
RSW-BUF,RSW,BUF,1144.0,134,
RSW-BWI,RSW,BWI,919.0,1413,"Thin route - reliable, short delay tail"
RSW-CLE,RSW,CLE,1025.0,934,"Thin route - reliable, short delay tail"
RSW-CLT,RSW,CLT,600.0,1776,"Thin route - reliable, short delay tail"
RSW-CMH,RSW,CMH,930.0,651,"Thin route - reliable, short delay tail"
RSW-CVG,RSW,CVG,879.0,672,"Thin route - reliable, short delay tail"
RSW-DAL,RSW,DAL,1005.0,123,
RSW-DCA,RSW,DCA,892.0,832,"Thin route - long delay tail, high average delay"
RSW-DEN,RSW,DEN,1607.0,1153,"Thin route - long-haul, rarely cancels"
RSW-DFW,RSW,DFW,1017.0,1341,"Thin route - long delay tail, high average delay"
RSW-DSM,RSW,DSM,1236.0,52,
RSW-DTW,RSW,DTW,1084.0,1802,"Trunk route - multi-carrier, unreliable"
RSW-EWR,RSW,EWR,1068.0,1986,"Trunk route - multi-carrier, unreliable"
RSW-GRR,RSW,GRR,1147.0,21,
RSW-HOU,RSW,HOU,852.0,14,
RSW-HPN,RSW,HPN,1102.0,598,"Thin route - reliable, short delay tail"
RSW-IAD,RSW,IAD,891.0,467,"Thin route - reliable, short delay tail"
RSW-IAH,RSW,IAH,861.0,875,"Thin route - reliable, short delay tail"
RSW-IND,RSW,IND,945.0,807,"Thin route - reliable, short delay tail"
RSW-ISP,RSW,ISP,1101.0,111,
RSW-JFK,RSW,JFK,1074.0,1279,"Thin route - long delay tail, high average delay"
RSW-LAX,RSW,LAX,2238.0,45,
RSW-LGA,RSW,LGA,1080.0,897,"Thin route - long delay tail, high average delay"
RSW-MCI,RSW,MCI,1155.0,220,
RSW-MCO,RSW,MCO,133.0,608,"Thin route - reliable, short delay tail"
RSW-MDW,RSW,MDW,1105.0,1161,"Thin route - long delay tail, high average delay"
RSW-MHT,RSW,MHT,1271.0,81,
RSW-MKE,RSW,MKE,1183.0,379,"Thin route - reliable, short delay tail"
RSW-MSP,RSW,MSP,1416.0,1211,"Thin route - long-haul, rarely cancels"
RSW-ORD,RSW,ORD,1120.0,3231,"Trunk route - multi-carrier, unreliable"
RSW-ORH,RSW,ORH,1220.0,113,
RSW-PHL,RSW,PHL,993.0,1330,"Thin route - long delay tail, high average delay"
RSW-PHX,RSW,PHX,1868.0,72,
RSW-PIT,RSW,PIT,966.0,483,"Thin route - long delay tail, high average delay"
RSW-PVD,RSW,PVD,1200.0,181,
RSW-ROC,RSW,ROC,1166.0,3,
RSW-SDF,RSW,SDF,835.0,13,
RSW-SEA,RSW,SEA,2623.0,44,
RSW-SFO,RSW,SFO,2481.0,51,
RSW-SLC,RSW,SLC,1985.0,118,
RSW-STL,RSW,STL,979.0,1008,"Thin route - reliable, short delay tail"
RSW-TTN,RSW,TTN,1028.0,7,
SAF-DEN,SAF,DEN,303.0,1653,"Thin route - reliable, short delay tail"
SAF-DFW,SAF,DFW,551.0,1762,"Trunk route - multi-carrier, unreliable"
SAF-IAH,SAF,IAH,735.0,3,
SAF-LAX,SAF,LAX,710.0,298,
SAF-ORD,SAF,ORD,1072.0,106,
SAF-PHX,SAF,PHX,370.0,516,"Thin route - reliable, short delay tail"
SAN-ABQ,SAN,ABQ,628.0,686,"Thin route - reliable, short delay tail"
SAN-ANC,SAN,ANC,2452.0,25,
SAN-ATL,SAN,ATL,1892.0,2378,"Thin route - long-haul, rarely cancels"
SAN-AUS,SAN,AUS,1164.0,2577,"Trunk route - multi-carrier, unreliable"
SAN-BLI,SAN,BLI,1142.0,4,
SAN-BNA,SAN,BNA,1751.0,1092,"Thin route - long-haul, rarely cancels"
SAN-BOI,SAN,BOI,749.0,1031,"Thin route - reliable, short delay tail"
SAN-BOS,SAN,BOS,2588.0,1849,"Thin route - long-haul, rarely cancels"
SAN-BWI,SAN,BWI,2295.0,1160,"Thin route - long-haul, rarely cancels"
SAN-BZN,SAN,BZN,956.0,107,
SAN-CLT,SAN,CLT,2077.0,1396,"Thin route - long-haul, rarely cancels"
SAN-CMH,SAN,CMH,1964.0,194,
SAN-COS,SAN,COS,816.0,169,
SAN-DAL,SAN,DAL,1182.0,1571,"Thin route - long delay tail, high average delay"
SAN-DCA,SAN,DCA,2276.0,364,"Thin route - long-haul, rarely cancels"
SAN-DEN,SAN,DEN,853.0,6033,"Trunk route - multi-carrier, unreliable"
SAN-DFW,SAN,DFW,1171.0,3668,"Trunk route - multi-carrier, unreliable"
SAN-DSM,SAN,DSM,1428.0,6,
SAN-DTW,SAN,DTW,1956.0,1290,"Thin route - long-haul, rarely cancels"
SAN-EGE,SAN,EGE,745.0,47,
SAN-ELP,SAN,ELP,636.0,361,"Thin route - long delay tail, high average delay"
SAN-EUG,SAN,EUG,850.0,474,"Thin route - reliable, short delay tail"
SAN-EWR,SAN,EWR,2425.0,1560,"Thin route - long-haul, rarely cancels"
SAN-FAT,SAN,FAT,314.0,1774,"Thin route - reliable, short delay tail"
SAN-FCA,SAN,FCA,1086.0,11,
SAN-FLL,SAN,FLL,2269.0,172,
SAN-GEG,SAN,GEG,1027.0,419,"Thin route - reliable, short delay tail"
SAN-HDN,SAN,HDN,769.0,51,
SAN-HNL,SAN,HNL,2614.0,1773,"Thin route - long-haul, rarely cancels"
SAN-HOU,SAN,HOU,1313.0,962,"Thin route - long-haul, rarely cancels"
SAN-IAD,SAN,IAD,2253.0,1402,"Thin route - long-haul, rarely cancels"
SAN-IAH,SAN,IAH,1303.0,1696,"Thin route - reliable, short delay tail"
SAN-IND,SAN,IND,1782.0,276,
SAN-JAC,SAN,JAC,828.0,90,
SAN-JFK,SAN,JFK,2446.0,2415,"Thin route - long-haul, rarely cancels"
SAN-KOA,SAN,KOA,2556.0,364,"Thin route - long-haul, rarely cancels"
SAN-LAS,SAN,LAS,258.0,5612,"Trunk route - multi-carrier, unreliable"
SAN-LAX,SAN,LAX,109.0,2447,"Thin route - reliable, short delay tail"
SAN-LIH,SAN,LIH,2676.0,284,
SAN-MCI,SAN,MCI,1334.0,385,"Thin route - long-haul, rarely cancels"
SAN-MCO,SAN,MCO,2149.0,1093,"Thin route - long-haul, rarely cancels"
SAN-MDW,SAN,MDW,1728.0,1093,"Thin route - long-haul, rarely cancels"
SAN-MFR,SAN,MFR,734.0,139,
SAN-MIA,SAN,MIA,2267.0,649,"Thin route - long-haul, rarely cancels"
SAN-MKE,SAN,MKE,1739.0,193,
SAN-MRY,SAN,MRY,375.0,540,"Thin route - reliable, short delay tail"
SAN-MSO,SAN,MSO,992.0,3,
SAN-MSP,SAN,MSP,1532.0,1303,"Thin route - long-haul, rarely cancels"
SAN-MSY,SAN,MSY,1600.0,342,"Thin route - long-haul, rarely cancels"
SAN-OAK,SAN,OAK,446.0,3203,"Trunk route - multi-carrier, unreliable"
SAN-OGG,SAN,OGG,2540.0,876,"Thin route - long-haul, rarely cancels"
SAN-OMA,SAN,OMA,1313.0,73,
SAN-ORD,SAN,ORD,1723.0,3869,"Trunk route - multi-carrier, unreliable"
SAN-PDX,SAN,PDX,933.0,1776,"Thin route - reliable, short delay tail"
SAN-PHL,SAN,PHL,2370.0,1046,"Thin route - long-haul, rarely cancels"
SAN-PHX,SAN,PHX,304.0,5976,"Trunk route - multi-carrier, unreliable"
SAN-PIT,SAN,PIT,2106.0,35,
SAN-PVU,SAN,PVU,599.0,10,
SAN-RDM,SAN,RDM,823.0,140,
SAN-RDU,SAN,RDU,2193.0,101,
SAN-RNO,SAN,RNO,488.0,1207,"Trunk route - multi-carrier, unreliable"
SAN-SAT,SAN,SAT,1129.0,610,"Thin route - long delay tail, high average delay"
SAN-SBA,SAN,SBA,192.0,98,
SAN-SBP,SAN,SBP,263.0,467,"Thin route - reliable, short delay tail"
SAN-SEA,SAN,SEA,1050.0,4593,"Trunk route - multi-carrier, unreliable"
SAN-SFO,SAN,SFO,447.0,6660,"Trunk route - multi-carrier, unreliable"
SAN-SJC,SAN,SJC,417.0,4958,"Trunk route - multi-carrier, unreliable"
SAN-SLC,SAN,SLC,626.0,3011,"Trunk route - multi-carrier, unreliable"
SAN-SMF,SAN,SMF,480.0,5174,"Trunk route - multi-carrier, unreliable"
SAN-STL,SAN,STL,1557.0,473,"Thin route - long-haul, rarely cancels"
SAN-STS,SAN,STS,508.0,1014,"Thin route - reliable, short delay tail"
SAN-TPA,SAN,TPA,2087.0,642,"Thin route - long-haul, rarely cancels"
SAN-TUS,SAN,TUS,367.0,654,"Thin route - reliable, short delay tail"
SAT-ABQ,SAT,ABQ,609.0,9,
SAT-ATL,SAT,ATL,874.0,2999,"Thin route - reliable, short delay tail"
SAT-BNA,SAT,BNA,822.0,952,"Thin route - reliable, short delay tail"
SAT-BOS,SAT,BOS,1764.0,356,"Thin route - long delay tail, high average delay"
SAT-BUR,SAT,BUR,1211.0,4,
SAT-BWI,SAT,BWI,1407.0,732,"Thin route - long-haul, rarely cancels"
SAT-CLT,SAT,CLT,1095.0,1378,"Thin route - reliable, short delay tail"
SAT-CMH,SAT,CMH,1139.0,1,
SAT-COS,SAT,COS,732.0,19,
SAT-DAL,SAT,DAL,247.0,2742,"Thin route - reliable, short delay tail"
SAT-DCA,SAT,DCA,1380.0,351,"Thin route - reliable, short delay tail"
SAT-DEN,SAT,DEN,794.0,3040,"Trunk route - multi-carrier, unreliable"
SAT-DFW,SAT,DFW,247.0,4375,"Trunk route - multi-carrier, unreliable"
SAT-DTW,SAT,DTW,1214.0,944,"Thin route - reliable, short delay tail"
SAT-ELP,SAT,ELP,496.0,747,"Thin route - reliable, short delay tail"
SAT-EWR,SAT,EWR,1569.0,575,"Thin route - long-haul, rarely cancels"
SAT-FLL,SAT,FLL,1145.0,224,
SAT-HOU,SAT,HOU,192.0,1347,"Thin route - reliable, short delay tail"
SAT-IAD,SAT,IAD,1362.0,641,"Thin route - reliable, short delay tail"
SAT-IAH,SAT,IAH,191.0,2405,"Thin route - reliable, short delay tail"
SAT-JFK,SAT,JFK,1587.0,362,"Thin route - long-haul, rarely cancels"
SAT-LAS,SAT,LAS,1069.0,2040,"Trunk route - multi-carrier, unreliable"
SAT-LAX,SAT,LAX,1211.0,1846,"Thin route - reliable, short delay tail"
SAT-MCI,SAT,MCI,706.0,270,
SAT-MCO,SAT,MCO,1041.0,1054,"Trunk route - multi-carrier, unreliable"
SAT-MDW,SAT,MDW,1036.0,661,"Thin route - reliable, short delay tail"
SAT-MIA,SAT,MIA,1143.0,483,"Thin route - reliable, short delay tail"
SAT-MSP,SAT,MSP,1097.0,893,"Thin route - reliable, short delay tail"
SAT-MSY,SAT,MSY,495.0,346,"Thin route - reliable, short delay tail"
SAT-OKC,SAT,OKC,407.0,89,
SAT-ORD,SAT,ORD,1041.0,1979,"Trunk route - multi-carrier, unreliable"
SAT-PHL,SAT,PHL,1496.0,266,
SAT-PHX,SAT,PHX,843.0,2509,"Trunk route - multi-carrier, unreliable"
SAT-SAN,SAT,SAN,1129.0,610,"Thin route - reliable, short delay tail"
SAT-SEA,SAT,SEA,1774.0,558,"Thin route - long-haul, rarely cancels"
SAT-SFO,SAT,SFO,1482.0,434,"Thin route - long-haul, rarely cancels"
SAT-SJU,SAT,SJU,2181.0,53,
SAT-SLC,SAT,SLC,1087.0,1009,"Thin route - reliable, short delay tail"
SAT-STL,SAT,STL,786.0,548,"Thin route - reliable, short delay tail"
SAT-TPA,SAT,TPA,972.0,374,"Thin route - reliable, short delay tail"
SAV-ATL,SAV,ATL,215.0,3037,"Thin route - reliable, short delay tail"
SAV-ATW,SAV,ATW,926.0,33,
SAV-BLV,SAV,BLV,658.0,13,
SAV-BNA,SAV,BNA,417.0,904,"Thin route - reliable, short delay tail"
SAV-BOS,SAV,BOS,901.0,1044,"Thin route - long delay tail, high average delay"
SAV-BWI,SAV,BWI,548.0,994,"Thin route - reliable, short delay tail"
SAV-CAK,SAV,CAK,606.0,161,
SAV-CLT,SAV,CLT,213.0,2048,"Thin route - reliable, short delay tail"
SAV-CVG,SAV,CVG,515.0,191,
SAV-DAL,SAV,DAL,915.0,328,"Thin route - reliable, short delay tail"
SAV-DCA,SAV,DCA,519.0,1105,"Trunk route - multi-carrier, unreliable"
SAV-DEN,SAV,DEN,1414.0,373,"Thin route - long delay tail, high average delay"
SAV-DFW,SAV,DFW,925.0,1027,"Thin route - long delay tail, high average delay"
SAV-DTW,SAV,DTW,705.0,595,"Thin route - reliable, short delay tail"
SAV-EWR,SAV,EWR,708.0,1111,"Thin route - long delay tail, high average delay"
SAV-FLL,SAV,FLL,422.0,94,
SAV-GRR,SAV,GRR,778.0,26,
SAV-HOU,SAV,HOU,853.0,178,
SAV-IAD,SAV,IAD,516.0,205,
SAV-IND,SAV,IND,596.0,35,
SAV-JFK,SAV,JFK,717.0,631,"Thin route - long delay tail, high average delay"
SAV-LCK,SAV,LCK,539.0,139,
SAV-LGA,SAV,LGA,722.0,579,"Thin route - long delay tail, high average delay"
SAV-MCI,SAV,MCI,905.0,7,
SAV-MDW,SAV,MDW,758.0,389,"Thin route - reliable, short delay tail"
SAV-MIA,SAV,MIA,440.0,789,"Thin route - reliable, short delay tail"
SAV-MSP,SAV,MSP,1092.0,329,"Thin route - reliable, short delay tail"
SAV-ORD,SAV,ORD,773.0,1566,"Trunk route - multi-carrier, unreliable"
SAV-PHL,SAV,PHL,630.0,986,"Trunk route - multi-carrier, unreliable"
SAV-PIE,SAV,PIE,304.0,1,
SAV-PIT,SAV,PIT,579.0,107,
SAV-SDF,SAV,SDF,489.0,21,
SAV-STL,SAV,STL,689.0,91,
SBA-ATL,SBA,ATL,2022.0,171,
SBA-DEN,SBA,DEN,916.0,1073,"Thin route - reliable, short delay tail"
SBA-DFW,SBA,DFW,1316.0,364,"Thin route - long delay tail, high average delay"
SBA-LAS,SBA,LAS,289.0,885,"Thin route - reliable, short delay tail"
SBA-LAX,SBA,LAX,89.0,687,"Thin route - reliable, short delay tail"
SBA-OAK,SBA,OAK,263.0,300,"Thin route - reliable, short delay tail"
SBA-ORD,SBA,ORD,1803.0,117,
SBA-PDX,SBA,PDX,784.0,29,
SBA-PHX,SBA,PHX,455.0,1431,"Thin route - reliable, short delay tail"
SBA-SAN,SBA,SAN,192.0,97,
SBA-SEA,SBA,SEA,908.0,363,"Thin route - reliable, short delay tail"
SBA-SFO,SBA,SFO,262.0,1640,"Thin route - long delay tail, high average delay"
SBA-SLC,SBA,SLC,615.0,1060,"Thin route - reliable, short delay tail"
SBA-SMF,SBA,SMF,310.0,365,"Thin route - reliable, short delay tail"
SBN-ATL,SBN,ATL,566.0,1029,"Thin route - long delay tail, high average delay"
SBN-AZA,SBN,AZA,1501.0,147,
SBN-BOI,SBN,BOI,1521.0,3,
SBN-CLT,SBN,CLT,534.0,1026,"Thin route - reliable, short delay tail"
SBN-DCA,SBN,DCA,528.0,16,
SBN-DFW,SBN,DFW,846.0,984,"Thin route - long delay tail, high average delay"
SBN-DTW,SBN,DTW,157.0,711,"Thin route - long delay tail, high average delay"
SBN-EWR,SBN,EWR,637.0,7,
SBN-FLL,SBN,FLL,1134.0,97,
SBN-HOU,SBN,HOU,971.0,1,
SBN-IAD,SBN,IAD,504.0,94,
SBN-IAH,SBN,IAH,953.0,2,
SBN-LAS,SBN,LAS,1594.0,104,
SBN-LAX,SBN,LAX,1823.0,1,
SBN-LGA,SBN,LGA,651.0,14,
SBN-MSP,SBN,MSP,411.0,365,"Thin route - reliable, short delay tail"
SBN-ORD,SBN,ORD,84.0,2738,"Thin route - long delay tail, high average delay"
SBN-PGD,SBN,PGD,1049.0,238,
SBN-PIE,SBN,PIE,973.0,151,
SBN-SFB,SBN,SFB,936.0,248,
SBN-SRQ,SBN,SRQ,1009.0,109,
SBN-SYR,SBN,SYR,531.0,1,
SBN-TYS,SBN,TYS,426.0,10,
SBP-DEN,SBP,DEN,931.0,724,"Thin route - reliable, short delay tail"
SBP-DFW,SBP,DFW,1360.0,361,"Thin route - long delay tail, high average delay"
SBP-LAS,SBP,LAS,314.0,117,
SBP-LAX,SBP,LAX,155.0,634,"Thin route - reliable, short delay tail"
SBP-PDX,SBP,PDX,722.0,84,
SBP-PHX,SBP,PHX,509.0,1258,"Trunk route - multi-carrier, unreliable"
SBP-SAN,SBP,SAN,263.0,467,"Thin route - reliable, short delay tail"
SBP-SEA,SBP,SEA,847.0,220,
SBP-SFO,SBP,SFO,191.0,1145,"Thin route - long delay tail, high average delay"
SCC-ANC,SCC,ANC,626.0,513,"Thin route - reliable, short delay tail"
SCE-IAD,SCE,IAD,132.0,29,
SCE-ORD,SCE,ORD,528.0,550,"Thin route - long delay tail, high average delay"
SCE-PHL,SCE,PHL,153.0,10,
SCK-DEN,SCK,DEN,902.0,9,
SCK-LAS,SCK,LAS,359.0,398,"Thin route - long delay tail, high average delay"
SCK-PHX,SCK,PHX,603.0,119,
SDF-ATL,SDF,ATL,321.0,2717,"Thin route - reliable, short delay tail"
SDF-AUS,SDF,AUS,876.0,5,
SDF-BNA,SDF,BNA,151.0,505,"Thin route - reliable, short delay tail"
SDF-BOS,SDF,BOS,829.0,708,"Thin route - long delay tail, high average delay"
SDF-BWI,SDF,BWI,495.0,891,"Thin route - reliable, short delay tail"
SDF-CLT,SDF,CLT,335.0,1757,"Thin route - reliable, short delay tail"
SDF-DAL,SDF,DAL,725.0,350,"Thin route - reliable, short delay tail"
SDF-DCA,SDF,DCA,474.0,1029,"Trunk route - multi-carrier, unreliable"
SDF-DEN,SDF,DEN,1024.0,1097,"Thin route - reliable, short delay tail"
SDF-DFW,SDF,DFW,733.0,2002,"Trunk route - multi-carrier, unreliable"
SDF-DTW,SDF,DTW,306.0,1128,"Trunk route - multi-carrier, unreliable"
SDF-EWR,SDF,EWR,642.0,992,"Thin route - reliable, short delay tail"
SDF-FLL,SDF,FLL,895.0,296,
SDF-GUF,SDF,GUF,555.0,21,
SDF-HOU,SDF,HOU,803.0,283,
SDF-IAD,SDF,IAD,451.0,236,
SDF-IAH,SDF,IAH,788.0,5,
SDF-JAX,SDF,JAX,577.0,1,
SDF-JFK,SDF,JFK,662.0,5,
SDF-LAS,SDF,LAS,1624.0,399,"Thin route - long-haul, rarely cancels"
SDF-LAX,SDF,LAX,1843.0,54,
SDF-LGA,SDF,LGA,659.0,1037,"Thin route - reliable, short delay tail"
SDF-MCI,SDF,MCI,491.0,1,
SDF-MCO,SDF,MCO,719.0,856,"Thin route - reliable, short delay tail"
SDF-MDW,SDF,MDW,271.0,977,"Thin route - reliable, short delay tail"
SDF-MIA,SDF,MIA,910.0,429,"Thin route - reliable, short delay tail"
SDF-MSP,SDF,MSP,604.0,527,"Thin route - reliable, short delay tail"
SDF-MSY,SDF,MSY,620.0,1,
SDF-MYR,SDF,MYR,491.0,9,
SDF-ORD,SDF,ORD,286.0,2796,"Trunk route - multi-carrier, unreliable"
SDF-PBI,SDF,PBI,857.0,1,
SDF-PGD,SDF,PGD,806.0,155,
SDF-PHL,SDF,PHL,577.0,608,"Thin route - reliable, short delay tail"
SDF-PHX,SDF,PHX,1506.0,372,"Thin route - long-haul, rarely cancels"
SDF-PIE,SDF,PIE,729.0,109,
SDF-PIT,SDF,PIT,335.0,2,
SDF-RDU,SDF,RDU,416.0,1,
SDF-RSW,SDF,RSW,835.0,13,
SDF-SAV,SDF,SAV,489.0,21,
SDF-SFB,SDF,SFB,698.0,127,
SDF-SFO,SDF,SFO,1990.0,2,
SDF-SLC,SDF,SLC,1409.0,2,
SDF-SNA,SDF,SNA,1819.0,1,
SDF-SRQ,SDF,SRQ,765.0,80,
SDF-TPA,SDF,TPA,727.0,406,"Thin route - reliable, short delay tail"
SDF-VPS,SDF,VPS,532.0,130,
SEA-ABQ,SEA,ABQ,1180.0,548,"Thin route - reliable, short delay tail"
SEA-ACV,SEA,ACV,456.0,115,
SEA-ANC,SEA,ANC,1448.0,6657,"Trunk route - multi-carrier, unreliable"
SEA-ATL,SEA,ATL,2182.0,3277,"Thin route - long-haul, rarely cancels"
SEA-AUS,SEA,AUS,1770.0,2068,"Thin route - long-haul, rarely cancels"
SEA-BLI,SEA,BLI,93.0,1216,"Thin route - reliable, short delay tail"
SEA-BNA,SEA,BNA,1978.0,1476,"Thin route - long-haul, rarely cancels"
SEA-BOI,SEA,BOI,399.0,3881,"Thin route - reliable, short delay tail"
SEA-BOS,SEA,BOS,2496.0,2502,"Thin route - long-haul, rarely cancels"
SEA-BUR,SEA,BUR,937.0,1622,"Thin route - reliable, short delay tail"
SEA-BWI,SEA,BWI,2335.0,719,"Thin route - long-haul, rarely cancels"
SEA-BZN,SEA,BZN,543.0,1574,"Thin route - reliable, short delay tail"
SEA-CHS,SEA,CHS,2415.0,347,"Thin route - long-haul, rarely cancels"
SEA-CLE,SEA,CLE,2021.0,455,"Thin route - long-haul, rarely cancels"
SEA-CLT,SEA,CLT,2279.0,1296,"Thin route - long-haul, rarely cancels"
SEA-CMH,SEA,CMH,2016.0,464,"Thin route - long-haul, rarely cancels"
SEA-CVG,SEA,CVG,1965.0,793,"Thin route - long-haul, rarely cancels"
SEA-DAL,SEA,DAL,1670.0,219,
SEA-DCA,SEA,DCA,2329.0,1092,"Thin route - long-haul, rarely cancels"
SEA-DEN,SEA,DEN,1024.0,6325,"Trunk route - multi-carrier, unreliable"
SEA-DFW,SEA,DFW,1660.0,5229,"Trunk route - multi-carrier, unreliable"
SEA-DTW,SEA,DTW,1927.0,2060,"Thin route - long-haul, rarely cancels"
SEA-EGE,SEA,EGE,940.0,38,
SEA-EUG,SEA,EUG,234.0,1930,"Thin route - reliable, short delay tail"
SEA-EWR,SEA,EWR,2402.0,2264,"Thin route - long-haul, rarely cancels"
SEA-FAI,SEA,FAI,1533.0,2291,"Thin route - long-haul, rarely cancels"
SEA-FAT,SEA,FAT,748.0,925,"Thin route - reliable, short delay tail"
SEA-FCA,SEA,FCA,379.0,48,
SEA-FLL,SEA,FLL,2717.0,826,"Thin route - long-haul, rarely cancels"
SEA-GEG,SEA,GEG,224.0,5062,"Trunk route - multi-carrier, unreliable"
SEA-GTF,SEA,GTF,512.0,106,
SEA-HDN,SEA,HDN,891.0,44,
SEA-HLN,SEA,HLN,491.0,10,
SEA-HNL,SEA,HNL,2677.0,2933,"Thin route - long-haul, rarely cancels"
